Ticker,Quantity,Purchase Price,Category,Account Type
AAPL,32.875151,271.35,Robinhood,Margin
AMD,17.228305,354.49,Robinhood,Margin
AMZN,6.139473,265.06,Robinhood,Margin
ANET,5.85366,172.71,Robinhood,Margin
AVGO,16.015482,417.43,Robinhood,Margin
CRWD,6.730194,445.75,Robinhood,Margin
DELL,7.15184,208.95,Robinhood,Margin
DIS,14.709586,103.75,Robinhood,Margin
ENPH,10.65757,32.96,Robinhood,Margin
GEV,0.985332,1083.46,Robinhood,Margin
GLD,3.048105,423.66,Robinhood,Margin
GOOGL,42.149825,384.8,Robinhood,Margin
JPM,2.753308,313.23,Robinhood,Margin
META,8.317115,611.91,Robinhood,Margin
MRVL,2.385513,165.15,Robinhood,Margin
MSFT,19.746979,407.78,Robinhood,Margin
NFLX,77.97709,93.61,Robinhood,Margin
NVDA,41.067308,199.57,Robinhood,Margin
PANW,2.468968,179.32,Robinhood,Margin
PLTR,12.746453,139.11,Robinhood,Margin
SHOP,42.621966,121.13,Robinhood,Margin
TSLA,16.669082,381.63,Robinhood,Margin
TSM,4.457336,395.06,Robinhood,Margin
TTWO,2.719393,213.76,Robinhood,Margin
UBER,42.189843,74.61,Robinhood,Margin
VGT,88.524888,103.18,Robinhood,Margin
VRT,7.719113,328.49,Robinhood,Margin
ANET,1.116857,172.71,Robinhood,Cash
AVGO,1.677061,417.43,Robinhood,Cash
CRDO,8.3776,174.01,Robinhood,Cash
HOOD,8,72.89,Robinhood,Cash
INOD,17.750223,42.23,Robinhood,Cash
LRCX,9.22168,257.86,Robinhood,Cash
MRVL,1.823521,165.15,Robinhood,Cash
MU,6.941185,134.4,Robinhood,Cash
VRT,4.195155,328.49,Robinhood,Cash
BTC-USD,0.06752957,81139.56,Robinhood,Cash
